text,label
Clari seguiremos tu reclamo por DM.,NEUTRAL
"Te respondí al privado Leandro, seguimos por ahí.",NEUTRAL
"Hola, soy Sole, ante cualquier consulta quedo a tu disposición por MP",NEUTRAL
"Te respondí al privado Maca, seguimos por ahí.",NEUTRAL
Enterado...,NEUTRAL
@Remy_sil te enviamos un DM. Saludos.,NEUTRAL
Hola Luciana! Soy Sara. Te cuento que voy a estar siguiendo tu caso y voy a responder a todas tus preguntas por DM. Pasame el DNi del titular por ese medio y enseguida te informo al respecto. Saludos!,NEUTRAL
"Buen día Martin, ya estamos con vos por DM así verificamos el caso en detalle.",NEUTRAL
"Disculpa @andrulidionisio, queremos ayudarte, pero para ello necesitamos que por DM nos brindes los datos del titular de la cuenta a fin de poder brindarte asistencia de manera personal. Te esperamos !",NEUTRAL
Y seguimos igual después de 4hs @CableFibertel  alguna novedad muchachos? https://twitter.com/AEFDJ/status/1182443930052378625 …pic.twitter.com/fls7FAZOW3,NEUTRAL
"Hola Luisano, vamos a chequear qué sucede con tu servicio. Para ello te enviamos un DM, continuamos ahí. Gracias!",NEUTRAL
¡Hola Caro! Te respondimos por DM.,NEUTRAL
"Hola @andrupaglietta, te mande un mensaje privado!",NEUTRAL
"Hola Gabriel, como estas? Me disculpo por las molestias ocasionadas. Te escribi por privado para pedirte los datos de la cuenta. Continuamos por ahi. Te espero!",NEUTRAL
@CableFibertel como doy de baja el pack futbol,NEUTRAL
Che @CableFibertel querés q te pase como Edesur!... Dale pelota a Lula!!! https://youtu.be/1AyeCqmP7Eg,NEUTRAL
Respondí por DM ¿La seguimos por ahí?,NEUTRAL
Ok.. ahi les escribo @CableFibertel,NEUTRAL
Te espero en mi casa y veni a hacerme el cableado de 400m q necesito,NEUTRAL
"Cata! Y @CableFibertel, tiene algo que ver con el grupo '' Clarín ''????",NEUTRAL
¡Hola ! Buenas tardes. Desde ya te pedimos disculpas por las molestias ocasionadas te dejamos un DM seguimos por ese medio . ¡Saludos!,NEUTRAL
"Sandra, seguimos por DM",NEUTRAL
Hola! Te enviamos un DM.,NEUTRAL
"Disculpa la demora en respuesta Vic, acabo de responder tu consulta por DM, continuamos por ahí.",NEUTRAL
@CableFibertel tenés dm. Espero respuesta.,NEUTRAL
"Sebastian, seguimos tu caso por DM.",NEUTRAL
@CableFibertel  les mandé dm,NEUTRAL
"Buenas noches Jorge, te respondimos por DM.",NEUTRAL
"@CableFibertel te mandé DM, sin internet pierdo la cabezaaa",NEUTRAL
Que pasa con el internet que va y viene @CableFibertel ????,NEUTRAL
"@CableFibertel hola, les mandé inbox",NEUTRAL
Quiero ver mi programa desde hoy y no me deja código de error S1086 @CableFibertel #Flow,NEUTRAL
LUNES 7   23:30 HS   EL FUTBOL    CANAL 7 @CableFibertel @SomosSurOk  Compacto @InstitutoACC 1 @qacoficial 1     Hinchas Quilmeños en #Cordoba de todas partes.   La palabra de @MarcosL96 y su familia dandolé puntaje   NUEVA CONDUCCIÓN FUTBOL JUVENILpic.twitter.com/MQIvAQkIFR,NEUTRAL
#LosPumas se juegan la posibilidad de seguir con chances de clasificación en el #MundialDeRugby  a la siguiente fase frente a #Inglaterra mañana 4.45 h por ESPN. Todo el deporte está en @CableFibertel   La agenda deportiva  https://goo.gl/fZRta5 pic.twitter.com/jfzQP2HjnH,NEUTRAL
Saliste de tu casa y ves ma camioneta de @CableFibertel en la puerta. Estarán laburando o es sólo un decorado?,NEUTRAL
Hola Maru! Mi nombre es Sara.  Te cuento que voy a estar siguiendo tu caso y voy a responder a todas tus preguntas por DM. Saludos!,NEUTRAL
Hola Stella! te envíe un DM.,NEUTRAL
Llega el final de temporada de una de las series del año. No te pierdas Succession a las 22 Hs. por HBO y en todos tus dispositivos con Flow  http://bit.ly/Descargá_Flow_App …pic.twitter.com/Qu9imPPipU,NEUTRAL
"Hola Javier R., te pido por favor que nos sigas y nos envíes un DM junto con el DNI del titular del servicio para con gusto poder ayudarte desde acá. ¡Te esperamos!",NEUTRAL
@AngieMailen Hola soy Daiana. Te respondí por DM,NEUTRAL
Te he respondido por privado. Seguimos por esa vía.- Cami S,NEUTRAL
@CableFibertel x favor se pueden comunicar conmigo??,NEUTRAL
Al menos @TeleCentroAr responde,NEUTRAL
"Débito automático A NADA, no es error esto, es una avivada de las empresas. Si pasa, pasa.",NEUTRAL
Porque no puedo ver @C5N @CableFibertel,NEUTRAL
"Les mande dm hace cuatro horas, estaria bueno que alguien me conteste @CableFibertel",NEUTRAL
"Buen día Simon,  cómo estas! Que pena quieras dar de baja de baja  Te pido nos escribas por DM http://bit.ly/DMArnet  porfa, el n° de linea con código de área, te espero!",NEUTRAL
@CableFibertel hola pueden arreglar mi wifi que no anda desde anoche salu3,NEUTRAL
@CableFibertel les mandé un dm.. por favor espero su PRONTA respuesta,NEUTRAL
"2 teles, HD, 50 megas y pack fútbol, solo eso",NEUTRAL
"Hola Guido! Recibimos tu mensaje, te dejamos la respuesta por DM así seguimos por ahí. Te esperamos!",NEUTRAL
Hola @analiaj ¿cómo estás? Vamos a ayudarte. Para ello te pido que nos sigas y nos envíes por DM el número de DNI de la cuenta por la cual consultas. ¡Te esperamos!,NEUTRAL
Te respondimos por DM,NEUTRAL
